site,month_of_date_id,day_of_date_id,year_of_date_id,measure_names,person_type,supplier_type,measure_values
Site B,May,27,2017,Gross Booking Value,FRBO,Platform,124881.722777
Site A,May,28,2017,Gross Booking Value,FRBO,Platform,370258.897951
Site B,May,28,2017,Gross Booking Value,FRBO,Platform,214160.334833
Site A,May,29,2017,Gross Booking Value,FRBO,Platform,407019.516897
Site B,May,29,2017,Gross Booking Value,FRBO,Platform,193471.725921
Site A,May,30,2017,Gross Booking Value,FRBO,Platform,455470.675609
Site B,May,30,2017,Gross Booking Value,FRBO,Platform,163530.315718
Site A,May,31,2017,Gross Booking Value,FRBO,Platform,413328.324935
Site B,May,31,2017,Gross Booking Value,FRBO,Platform,204643.26922
Site A,July,1,2016,Gross Booking Value,PM,Integrated,177587.740778
Site B,July,1,2016,Gross Booking Value,PM,Integrated,44088.213728
Site A,July,2,2016,Gross Booking Value,PM,Integrated,77518.834349
Site B,July,2,2016,Gross Booking Value,PM,Integrated,25096.432236
Site A,July,3,2016,Gross Booking Value,PM,Integrated,61617.284811
Site B,July,3,2016,Gross Booking Value,PM,Integrated,42031.742558
Site A,July,4,2016,Gross Booking Value,PM,Integrated,88269.408949
Site B,July,4,2016,Gross Booking Value,PM,Integrated,28544.20321
Site A,July,5,2016,Gross Booking Value,PM,Integrated,59344.437149
Site B,July,5,2016,Gross Booking Value,PM,Integrated,22697.514373
Site A,July,6,2016,Gross Booking Value,PM,Integrated,117697.10482
Site B,July,6,2016,Gross Booking Value,PM,Integrated,51283.681326
Site A,July,7,2016,Gross Booking Value,PM,Integrated,101458.500513
Site B,July,7,2016,Gross Booking Value,PM,Integrated,43365.705794
Site A,July,8,2016,Gross Booking Value,PM,Integrated,170087.837169
Site B,July,8,2016,Gross Booking Value,PM,Integrated,57083.705772
Site A,July,9,2016,Gross Booking Value,PM,Integrated,65602.02249
Site B,July,9,2016,Gross Booking Value,PM,Integrated,18037.637652
Site A,July,10,2016,Gross Booking Value,PM,Integrated,59977.222948
